ticket_id,created,closed,department,type,status,operator,rating
192,2024-09-16 10:30,17.09.2024 08:45,доставка,Вопрос,Решено,Иванов А.,1
92,2024-10-30 19:00,,поддержка,Претензия,В работе,,4
130,2024-11-28 19:45,29.11.2024 02:14, Доставка ,Претензия,Решено,Смирнов Д.,5
133,2024-10-03 10:15,,Поддержка,Вопрос,Отклонено,Сидоров К.,2
185,2024-11-22 12:00,23.11.2024 02:50,ПОДДЕРЖКА,Возврат,Решено,Смирнов Д.,4
104,28.10.2024 11:15,2024-10-29 01:50,Поддержка,Консультация,Решено,Петрова М.,3
19,31.10.2024 14:30,2024-10-31 17:10,качество,Вопрос,Решено,Петрова М.,4
174,2024-10-10 13:00,-,Поддержка,Жалоба,В работе,,1
243,01.11.2024 12:30,01.11.2024 19:11, Доставка ,Вопрос,решено,Петрова М.,5
41,2024-10-22 13:15,,поддержка,Претензия,Отклонено,Смирнов Д.,
281,29.10.2024 16:45,-,Качество,Вопрос,Отклонено,Петрова М.,4
148,2024-11-29 17:30,01.12.2024 17:37,качество,Возврат,Решено,Кузнецова О.,5 из 5
86,29.09.2024 15:00,01.10.2024 15:51,Качество,Возврат,решено,Кузнецова О.,5
59,16.11.2024 19:00,, Доставка ,Претензия,Отклонено,Смирнов Д.,нет оценки
157,23.09.2024 17:15,2024-09-27 12:07,ПОДДЕРЖКА,Консультация,Решено,,4
154,09.11.2024 15:00,2024-11-10 05:54,Поддержка,Возврат,решено,Иванов А.,1
68,2024-09-06 19:00,2024-09-07 01:27,Качество,Консультация,Решено,Сидоров К.,4
64,13.09.2024 16:15,2024-09-14 14:22,доставка,Жалоба,решено,Иванов А.,нет оценки
164,2024-10-27 19:30,28.10.2024 02:09,Качество,Консультация,решено,Сидоров К.,5 из 5
35,20.10.2024 10:30,24.10.2024 05:29,Поддержка,Консультация,Решено,Иванов А.,5
60,18.11.2024 18:00,,Оплата,Претензия,Отклонено,Смирнов Д.,1
101,05.11.2024 14:30,06.11.2024 12:40,Поддержка,Консультация,Решено,Смирнов Д.,2
87,2024-10-18 16:15,-, Доставка ,Вопрос,Отклонено,Петрова М.,5 из 5
162,2024-11-25 15:45,2024-11-25 18:30,качество,Вопрос,решено,,2
54,2024-11-08 14:45,2024-11-09 05:31,качество,Претензия,решено,Иванов А.,
119,2024-09-18 14:45,,качество,Возврат,Отклонено,,2
142,11.10.2024 16:45,13.10.2024 17:38, Доставка ,Претензия,решено,Смирнов Д.,5 из 5
147,31.10.2024 11:30,01.11.2024 02:17,ПОДДЕРЖКА,Консультация,решено,Сидоров К.,3
244,2024-09-09 13:30,2024-09-10 12:20,Оплата,Жалоба,решено,Кузнецова О.,4
170,2024-11-13 09:15,2024-11-15 09:49,Поддержка,Возврат,Решено,Смирнов Д.,1
271,2024-10-17 12:45,,Доставка,Вопрос,В работе,Сидоров К.,
88,2024-10-04 17:15,2024-10-04 23:49,Доставка,Жалоба,Решено,Петрова М.,3
155,2024-10-11 12:45,2024-10-15 07:37,оплата ,Претензия,решено,Смирнов Д.,
199,09.09.2024 16:45,2024-09-10 07:22, Доставка ,Консультация,решено,Кузнецова О.,
46,2024-11-17 14:15,2024-11-18 20:27, Доставка ,Возврат,решено,Сидоров К.,2
28,2024-11-26 14:45,,оплата ,Возврат,В работе,,1
282,17.11.2024 18:45,,оплата ,Возврат,Отклонено,Смирнов Д.,2
182,30.10.2024 14:30,30.10.2024 21:17, Доставка ,Претензия,Решено,Иванов А.,5
74,24.11.2024 14:30,24.11.2024 20:58,ПОДДЕРЖКА,Вопрос,Решено,Петрова М.,1
45,2024-09-21 17:15,2024-09-22 15:48,Поддержка,Жалоба,Решено,Сидоров К.,2
105,16.09.2024 09:30,, Доставка ,Консультация,В работе,Смирнов Д.,3
296,2024-09-13 14:00,13.09.2024 20:31,поддержка,Возврат,Решено,,4
140,2024-11-06 19:00,,Доставка,Жалоба,В работе,Петрова М.,нет оценки
216,21.11.2024 09:15,22.11.2024 00:07,доставка,Жалоба,Решено,Иванов А.,
144,2024-11-20 16:00,-,Оплата,Вопрос,В работе,,2
77,29.09.2024 17:00,2024-09-29 19:18,оплата ,Консультация,Решено,Сидоров К.,4
179,02.09.2024 11:45,02.09.2024 18:24,Оплата,Консультация,Решено,Иванов А.,5 из 5
196,2024-11-09 19:00,,Доставка,Вопрос,Отклонено,Иванов А.,
114,2024-09-16 10:00,17.09.2024 16:07,Качество,Вопрос,Решено,Иванов А.,1
193,26.11.2024 19:45,2024-11-28 20:09,ПОДДЕРЖКА,Возврат,решено,Сидоров К.,2
208,21.10.2024 19:30,-,Поддержка,Возврат,В работе,Кузнецова О.,2
210,2024-09-08 11:45,2024-09-08 18:37,Доставка,Вопрос,Решено,Сидоров К.,
297,2024-11-18 11:30,19.11.2024 10:14,качество,Жалоба,Решено,Смирнов Д.,нет оценки
137,2024-10-20 15:00,21.10.2024 13:23,качество,Консультация,Решено,Кузнецова О.,3
81,2024-10-19 10:45,20.10.2024 09:18,поддержка,Претензия,Решено,Петрова М.,4
187,2024-11-18 15:00,2024-11-19 05:31,Оплата,Вопрос,Решено,,2
17,2024-09-03 10:30,,Доставка,Жалоба,Отклонено,Сидоров К.,5
270,02.11.2024 10:00,2024-11-04 10:34,качество,Жалоба,Решено,Смирнов Д.,2
27,2024-09-06 10:30,06.09.2024 13:00,поддержка,Консультация,решено,Кузнецова О.,5 из 5
84,2024-09-26 11:30,27.09.2024 02:08, Доставка ,Вопрос,решено,Кузнецова О.,нет оценки
63,11.10.2024 10:15,-,Качество,Возврат,Отклонено,Смирнов Д.,1
266,01.09.2024 18:30,-,поддержка,Вопрос,Отклонено,Иванов А.,2
134,18.11.2024 12:00,2024-11-19 02:41,ПОДДЕРЖКА,Претензия,решено,Петрова М.,3
33,2024-10-20 11:45,,Оплата,Консультация,Отклонено,,5 из 5
292,29.11.2024 14:00,-,Качество,Консультация,Отклонено,Петрова М.,
241,2024-09-29 14:45,01.10.2024 15:00,Оплата,Вопрос,Решено,Смирнов Д.,
115,12.10.2024 11:00,,Поддержка,Консультация,Отклонено,Петрова М.,3
132,2024-10-21 17:30,,оплата ,Жалоба,Отклонено,Сидоров К.,5
197,2024-11-15 19:30,16.11.2024 17:39, Доставка ,Претензия,Решено,Смирнов Д.,
269,08.10.2024 17:30,,качество,Жалоба,Отклонено,Смирнов Д.,4
291,14.11.2024 09:30,,Поддержка,Жалоба,В работе,Кузнецова О.,
80,2024-11-26 11:45,-,поддержка,Вопрос,Отклонено,Иванов А.,5
150,15.10.2024 14:30,2024-10-15 21:22,оплата ,Вопрос,Решено,Сидоров К.,5 из 5
273,2024-11-27 15:30,2024-11-28 05:30,Доставка,Консультация,Решено,Петрова М.,3
141,05.11.2024 18:15,06.11.2024 00:41,Оплата,Консультация,Решено,Сидоров К.,3
250,14.11.2024 10:30,15.11.2024 01:22,доставка,Жалоба,Решено,Иванов А.,4
262,02.11.2024 16:15,,Качество,Претензия,В работе,Сидоров К.,2
21,24.10.2024 09:45,24.10.2024 12:27,оплата ,Возврат,Решено,Иванов А.,5
253,2024-09-21 09:15,-,Доставка,Жалоба,Отклонено,Кузнецова О.,5
124,03.11.2024 09:15,03.11.2024 23:56,Доставка,Консультация,Решено,Сидоров К.,нет оценки
209,01.11.2024 15:30,,Доставка,Вопрос,Отклонено,Смирнов Д.,4
131,2024-09-18 11:45,2024-09-19 17:47,Оплата,Жалоба,Решено,Иванов А.,5 из 5
51,2024-09-27 18:30,2024-09-28 16:32,ПОДДЕРЖКА,Вопрос,Решено,,5 из 5
121,2024-11-06 12:30,2024-11-07 10:47,доставка,Претензия,решено,Смирнов Д.,нет оценки
55,02.09.2024 14:00,02.09.2024 20:42,поддержка,Консультация,решено,Петрова М.,2
