age,income,experience_years,credit_history_years,existing_loans,loan_amount,region,employment_type,default
58,81400,36,13,1,132000,Регион,Наёмный труд,0
48,43300,22,2,1,143000,Регион,Без работы,0
34,61000,8,11,1,167000,Москва,Без работы,0
62,65900,38,4,1,58000,Москва,Наёмный труд,1
27,59800,1,9,0,32000,Регион,Без работы,1
40,33200,17,8,2,135000,Москва,Без работы,0
58,41600,38,5,0,203000,Регион,Наёмный труд,0
38,25400,16,2,0,122000,Регион,Наёмный труд,0
42,61200,18,9,2,40000,Регион,Без работы,0
30,105400,3,8,1,114000,Регион,Наёмный труд,0
30,21600,3,5,0,50000,Регион,Наёмный труд,0
43,34800,23,3,0,39000,Регион,ИП,0
55,45200,29,13,2,98000,Регион,Наёмный труд,1
59,53000,33,3,1,109000,Регион,Наёмный труд,0
43,72800,20,7,1,93000,Регион,Наёмный труд,0
22,45800,0,6,0,128000,Регион,Наёмный труд,1
41,42500,14,0,2,61000,Регион,Наёмный труд,0
21,80500,0,5,1,104000,Регион,Самозанятый,0
43,66000,16,7,0,74000,Москва,Наёмный труд,0
63,62500,38,2,1,85000,Санкт-Петербург,Наёмный труд,0
49,51600,27,13,1,116000,Москва,Наёмный труд,0
57,76300,35,8,1,186000,Москва,Наёмный труд,0
21,36500,0,9,1,118000,Регион,Без работы,1
40,34300,20,1,1,144000,Москва,Наёмный труд,0
52,68600,26,13,0,99000,Регион,Наёмный труд,0
31,23600,11,5,0,132000,Регион,Наёмный труд,1
41,51100,21,11,0,184000,Москва,Наёмный труд,0
63,42500,36,0,1,305000,Москва,Наёмный труд,0
44,26000,24,11,1,204000,Регион,Наёмный труд,0
46,32200,22,10,0,96000,Регион,Наёмный труд,0
61,46700,40,14,0,196000,Регион,Наёмный труд,0
47,78100,21,1,0,137000,Регион,Без работы,0
35,36500,11,12,2,69000,Регион,Наёмный труд,0
34,84600,12,4,0,138000,Регион,Наёмный труд,0
63,50400,39,0,2,50000,Санкт-Петербург,Самозанятый,0
22,88400,0,7,0,138000,Регион,Самозанятый,1
56,37300,31,0,0,282000,Санкт-Петербург,Наёмный труд,0
26,48000,6,12,2,162000,Регион,Без работы,1
40,57900,14,8,2,202000,Регион,ИП,1
28,45200,5,9,0,79000,Регион,Наёмный труд,1
58,75300,32,10,0,132000,Санкт-Петербург,Наёмный труд,0
37,18200,10,2,0,150000,Регион,Наёмный труд,0
23,145800,0,11,1,82000,Регион,Наёмный труд,0
44,72100,21,1,2,149000,Регион,Наёмный труд,0
33,45300,7,14,1,130000,Санкт-Петербург,Наёмный труд,0
28,38200,6,0,2,150000,Регион,Самозанятый,0
45,33200,25,8,1,53000,Регион,Наёмный труд,0
21,65500,0,14,1,212000,Регион,Наёмный труд,0
39,76700,17,3,1,129000,Регион,Наёмный труд,0
47,45600,27,11,2,92000,Регион,Наёмный труд,0
26,80700,5,0,1,93000,Москва,ИП,0
63,32600,41,0,0,96000,Москва,Наёмный труд,0
27,30100,3,6,0,60000,Регион,Наёмный труд,0
54,110900,28,1,0,201000,Регион,Наёмный труд,0
33,64000,6,6,0,176000,Москва,ИП,0
36,91900,16,11,2,183000,Регион,Наёмный труд,0
55,33400,32,14,3,245000,Регион,Наёмный труд,0
59,32400,34,6,0,111000,Москва,Наёмный труд,0
23,41700,0,14,1,37000,Регион,Самозанятый,0
21,33800,0,9,0,144000,Санкт-Петербург,Наёмный труд,0
25,67300,0,13,0,141000,Москва,Без работы,1
61,35000,37,8,0,251000,Регион,Наёмный труд,0
23,28900,0,12,0,189000,Регион,Наёмный труд,0
48,52300,21,6,0,107000,Москва,Наёмный труд,0
37,27400,11,12,1,91000,Регион,Наёмный труд,0
45,21800,20,13,1,180000,Санкт-Петербург,Самозанятый,0
63,52100,43,0,0,20000,Москва,Самозанятый,0
53,22300,27,11,0,114000,Москва,ИП,0
29,69500,7,12,0,174000,Москва,Наёмный труд,0
55,26200,29,7,0,92000,Москва,Без работы,0
33,17900,9,7,0,78000,Регион,Наёмный труд,0
50,42900,26,3,0,118000,Регион,Самозанятый,0
34,52300,10,12,1,222000,Москва,Без работы,0
27,61200,2,7,0,129000,Москва,Наёмный труд,0
33,53000,7,3,0,66000,Санкт-Петербург,ИП,0
42,30400,15,14,2,205000,Регион,Наёмный труд,1
59,67600,32,7,1,230000,Санкт-Петербург,Наёмный труд,0
40,75500,14,4,0,61000,Москва,Наёмный труд,0
35,28500,8,3,1,529000,Регион,Наёмный труд,1
64,45200,43,5,2,99000,Регион,Наёмный труд,0
37,43300,12,1,0,174000,Москва,Самозанятый,1
43,54100,23,11,1,153000,Регион,Наёмный труд,0
45,44700,25,1,0,65000,Санкт-Петербург,Наёмный труд,0
44,47500,24,1,0,75000,Москва,Наёмный труд,0
64,65400,44,8,2,103000,Регион,Наёмный труд,0
60,29700,40,14,0,32000,Регион,Наёмный труд,0
48,68300,21,13,2,162000,Регион,Наёмный труд,0
34,81900,11,9,1,32000,Санкт-Петербург,Наёмный труд,0
64,102300,40,2,1,100000,Регион,Наёмный труд,0
20,18700,0,14,2,66000,Санкт-Петербург,Самозанятый,0
44,45100,21,9,1,140000,Регион,Наёмный труд,0
26,20200,1,3,0,26000,Регион,Наёмный труд,0
28,16400,7,9,0,36000,Москва,Без работы,0
43,52300,17,11,1,69000,Регион,Самозанятый,0
20,41000,0,7,1,135000,Регион,Наёмный труд,0
63,56100,39,3,1,113000,Санкт-Петербург,Наёмный труд,0
27,61000,6,10,0,185000,Регион,ИП,0
43,86000,20,9,2,105000,Регион,ИП,0
30,50200,8,9,0,98000,Москва,ИП,0
36,182700,10,12,1,52000,Регион,Наёмный труд,0
27,56300,6,6,3,86000,Регион,Наёмный труд,0
54,112300,28,4,1,98000,Регион,Наёмный труд,0
54,17200,28,8,0,29000,Регион,Наёмный труд,0
52,90000,25,3,0,58000,Регион,Наёмный труд,0
24,45200,0,2,0,130000,Санкт-Петербург,Наёмный труд,0
