application_id,age,income,experience_years,credit_history_years,existing_loans,loan_amount,region,employment_type,default_true,default_proba
1,20,36700,0,6,1,175000,Регион,Наёмный труд,0,0.76
2,54,25600,30,11,0,56000,Санкт-Петербург,Самозанятый,0,0.27
3,28,27100,7,14,0,119000,Регион,Наёмный труд,1,0.479
4,63,45300,39,11,1,140000,Москва,Наёмный труд,0,0.319
5,20,24100,0,12,0,60000,Регион,ИП,0,0.363
6,60,26600,35,11,0,110000,Регион,Наёмный труд,0,0.452
7,22,31900,0,2,1,150000,Москва,Самозанятый,1,0.802
8,44,62600,22,10,1,89000,Регион,Наёмный труд,0,0.268
9,36,26100,16,2,1,83000,Москва,ИП,0,0.601
10,41,81100,15,3,1,109000,Санкт-Петербург,Наёмный труд,0,0.195
11,49,114000,23,10,0,268000,Санкт-Петербург,Наёмный труд,0,0.14
12,55,41900,32,13,1,177000,Регион,ИП,1,0.479
13,38,80800,16,8,2,37000,Регион,Наёмный труд,0,0.239
14,56,60900,30,11,0,102000,Регион,Самозанятый,0,0.231
15,45,126300,24,10,1,69000,Регион,Наёмный труд,0,0.061
16,43,63500,18,6,0,142000,Регион,Наёмный труд,0,0.333
17,36,44000,15,2,0,89000,Регион,Наёмный труд,0,0.403
18,50,57800,25,6,1,107000,Регион,Наёмный труд,0,0.35
19,22,90600,0,2,2,77000,Регион,Наёмный труд,0,0.571
20,58,60800,38,2,0,192000,Москва,Самозанятый,0,0.273
21,36,82300,12,0,1,48000,Регион,Наёмный труд,0,0.243
22,53,57200,30,3,1,55000,Москва,Наёмный труд,0,0.309
23,28,22800,7,1,1,75000,Регион,Наёмный труд,0,0.716
24,30,39600,9,13,1,154000,Регион,ИП,0,0.546
25,42,42600,20,6,0,80000,Регион,Наёмный труд,0,0.421
26,23,85600,0,10,2,118000,Регион,Наёмный труд,0,0.347
27,25,31200,0,3,0,69000,Санкт-Петербург,Наёмный труд,0,0.549
28,38,74000,18,14,0,89000,Москва,Наёмный труд,0,0.163
29,43,52300,17,11,1,69000,Регион,Самозанятый,0,0.202
30,60,71800,33,9,1,108000,Регион,Наёмный труд,0,0.143
31,53,45300,27,10,1,169000,Регион,Наёмный труд,0,0.463
32,22,80300,0,0,0,116000,Регион,Наёмный труд,0,0.311
33,60,46600,37,1,0,201000,Москва,Самозанятый,1,0.41
34,36,54200,13,11,0,32000,Москва,Наёмный труд,0,0.141
35,61,65300,39,11,2,103000,Регион,Без работы,0,0.398
36,52,25200,32,4,0,113000,Регион,Наёмный труд,0,0.513
37,61,62900,38,9,0,106000,Москва,ИП,0,0.1
38,29,57700,9,13,2,74000,Санкт-Петербург,Наёмный труд,0,0.354
39,53,86200,28,4,2,70000,Регион,Без работы,1,0.463
40,45,27600,20,12,1,152000,Санкт-Петербург,ИП,0,0.524
41,45,20100,25,12,2,274000,Москва,Без работы,1,0.972
42,61,43700,38,7,1,65000,Москва,Наёмный труд,0,0.259
43,52,44100,29,7,1,81000,Регион,Самозанятый,0,0.434
44,62,40100,39,0,0,95000,Москва,Самозанятый,0,0.334
